
2021/09/23 (20:08:49) | ===> btop++ v.1.0.5
2021/09/23 (20:08:49) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/23 (20:09:22) | ===> btop++ v.1.0.5
2021/09/23 (20:09:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/09/23 (20:10:08) | ===> btop++ v.1.0.5
2021/09/23 (20:10:08) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (00:19:12) | ===> btop++ v.1.0.5
2021/09/24 (00:19:12) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (00:19:14) | ===> btop++ v.1.0.5
2021/09/24 (00:19:14) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (19:25:04) | ===> btop++ v.1.0.5
2021/09/24 (19:25:04) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (19:32:44) | ===> btop++ v.1.0.5
2021/09/24 (19:32:44) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (19:36:01) | ===> btop++ v.1.0.5
2021/09/24 (19:36:01) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (19:36:07) | ===> btop++ v.1.0.5
2021/09/24 (19:36:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/09/24 (19:47:00) | ===> btop++ v.1.0.6
2021/09/24 (19:47:00) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/24 (19:47:06) | ===> btop++ v.1.0.6
2021/09/24 (19:47:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2021/09/24 (19:48:36) | INFO: Logger set to INFO
2021/09/24 (19:48:37) | INFO: Logger set to DEBUG
2021/09/24 (19:48:41) | INFO: Logger set to INFO
2021/09/24 (19:48:41) | INFO: Logger set to DEBUG
2021/09/24 (19:48:42) | INFO: Logger set to INFO

2021/09/25 (13:57:34) | ===> btop++ v.1.0.7
2021/09/25 (13:57:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/09/26 (18:04:52) | ===> btop++ v.1.0.7
2021/09/26 (18:04:52) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2021/09/26 (18:04:55) | ===> btop++ v.1.0.7
2021/09/26 (18:04:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/09/27 (18:39:14) | ===> btop++ v.1.0.9
2021/09/27 (18:39:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/09/28 (23:16:44) | ===> btop++ v.1.0.10
2021/09/28 (23:16:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2021/09/29 (18:25:56) | ===> btop++ v.1.0.10
2021/09/29 (18:25:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

